id,name,parentid,x,y,z,description,shortname,catchment,fgroup,fcst_pp,esp,hefs,snowupdate,spatial_display,gage,gage_fcst,precip,nwm,snotel,snowcourse
YWRQ9RTD,Yukon River abv White River,YDAQ9,-139.494444,63.083889,0,yuk_can (YT),YWRQ9RTD,RTD,Yuk_Can,,,,,,,,,,,
SRFQ9OLD,Stewart R. nr Mayo,SRFQ9,-135.896667,63.590556,479.32848,yukcaold (YT),SRFQ9OLD,OLD,Yuk_Can,,,,,,,,,,,
SRFOLDUP,SRFQ9 Old Upper Seg Def,SRFQ9OLD,-135.896667,63.590556,479.32848,SRFQ9 Old Upper Seg Def,SRFOLDUP,DUP,Yuk_Can,,,,,,,,,,,
SRFOLDLW,SRFQ9 Old Lower Seg Def,SRFQ9OLD,-135.896667,63.590556,479.32848,SRFQ9 Old Lower Seg Def,SRFOLDLW,DLW,Yuk_Can,,,,,,,,,,,
SRMQ9OLD,Stewart River at Mouth,SRMQ9,-139.254444,63.282222,457.2,yukcaold (YT),SRMQ9OLD,OLD,Yuk_Can,,,,,,,,,,,
SRMOLDUP,SRMQ9 Old Upper Seg Def,SRMQ9OLD,-139.254444,63.282222,457.2,SRMQ9 Old Upper Seg Def,SRMOLDUP,DUP,Yuk_Can,,,,,,,,,,,
SRMOLDLW,SRMQ9 Old Lower Seg Def,SRMQ9OLD,-139.254444,63.282222,457.2,SRMQ9 Old Lower Seg Def,SRMOLDLW,DLW,Yuk_Can,,,,,,,,,,,
SRFOLDRT,SRFQ9 Old Routed,SRFQ9OLD,-135.896667,63.590556,479.32848,SRFQ9 Old Routed,SRFOLDRT,DRT,Yuk_Can,,,,,,,,,,,
KLNQ9OLD,Klondike River abv Bonanza Creek,KLNQ9,-139.407778,64.042778,100.8,yukcaold (YT),KLNQ9OLD,OLD,Yuk_Can,,,,,,,,,,,
NIRQ9OLD,Nisling River blw Onion Cr,NIRQ9,-139.048611,62.208056,232.3,yukcaold (YT),NIRQ9OLD,OLD,Yuk_Can,,,,,,,,,,,
WHRQ9OLD,White River nr Beaver Creek,WHRQ9,-140.558611,61.988056,315.9,yukcaold (YT),WHRQ9OLD,OLD,Yuk_Can,,,,,,,,,,,
YDAQ9OLD,Yukon River at Dawson,YDAQ9,-139.425833,64.070278,368.808,yukcaold (YT),YDAQ9OLD,OLD,Yuk_Can,,,,,,,,,,,
YWRQ9OLD,Yukon River abv White River,YWRQ9,-139.494444,63.083889,0,yukcaold (YT),YWRQ9OLD,OLD,Yuk_Can,,,,,,,,,,,
LOCNSOLD,YDAQ9 Old Nisling local,YDAQ9OLD,-139.425833,64.070278,368.8,YDAQ9 Old Nisling Local,LOCNSOLD,OLD,Yuk_Can,,,,,,,,,,,
LOCWHOLD,YDAQ9 Old White Local,YDAQ9OLD,-139.425833,64.070278,368.8,YDAQ9 Old White Localef,LOCWHOLD,OLD,Yuk_Can,,,,,,,,,,,
SRMOLDMG,YDAQ9 Old Stewart Local mrg,YDAQ9OLD,-139.425833,64.070278,368.8,YDAQ9 Old Stewart Local mrg,SRMOLDMG,DMG,Yuk_Can,,,,,,,,,,,
SRMOLDRT,YDAQ9 Old Stewart Local rtd,YDAQ9OLD,-139.425833,64.070278,368.8,YDAQ9 Old Stewart Local rtd,SRMOLDRT,DRT,Yuk_Can,,,,,,,,,,,
KLNOLDRT,YDAQ9 Old Klondike Local rtd,YDAQ9OLD,-139.425833,64.070278,368.8,YDAQ9 Old Klondike Local rtd,KLNOLDRT,DRT,Yuk_Can,,,,,,,,,,,
YWROLDRT,YDAQ9 Old Up Yukon Local rtd,YDAQ9OLD,-139.425833,64.070278,368.8,YDAQ9 Old Up Yukon Local rtd,YWROLDRT,DRT,Yuk_Can,,,,,,,,,,,
CRNA2OLD,Chisana River at Northway,CRNA2,-141.804722,63.006389,512.91744,yukcaold (AK),CRNA2OLD,OLD,Tanana,,,,,,,,,,,
YEAA2OLD,Yukon River at Eagle,YEAA2,-141.197778,64.789444,259.08,yukcaold (AK),YEAA2OLD,OLD,Yuk_Can,,,,,,,,,,,
LCLE_OLD,YEAA2 Old Local East,YEAA2OLD,-141.197778,64.789444,259.08,YEAA2 Old Local East,LCLE_OLD,OLD,Yuk_Can,,,,,,,,,,,
LCLG_OLD,YEAA2 Old Local Glacial,YEAA2OLD,-141.197778,64.789444,259.08,YEAA2 Old Local Glacial,LCLG_OLD,OLD,Yuk_Can,,,,,,,,,,,
FMROLDRT,YEAA2 Old 40mile RT,YEAA2OLD,-141.197778,64.789444,259.08,YEAA2 Old Old 40mile RT,FMROLDRT,DRT,Yuk_Can,,,,,,,,,,,
YDAOLDRT,YEAA2 Old Dawson RT,YEAA2OLD,-141.197778,64.789444,259.08,YEAA2 Old Local Dawson RT,YDAOLDRT,OLD,Yuk_Can,,,,,,,,,,,
KLNQ9R,Klondike River abv Bonanza Creek,KLNQ9,-139.407778,64.042778,100.8,yukcaraw (YT),KLNQ9R,R,Yuk_Can,,,,,,,,,,,
KLNQ9RLW,Klondike River abv Bonanza Creek,KLNQ9,-139.407778,64.042778,100.8,yukcaraw (YT),KLNQ9RLW,RLW,Yuk_Can,,,,,,,,,,,
KLNQ9RUP,Klondike River abv Bonanza Creek,KLNQ9,-139.407778,64.042778,100.8,yukcaraw (YT),KLNQ9RUP,RUP,Yuk_Can,,,,,,,,,,,
SRFQ9R,Stewart R. nr Mayo,SRFQ9,-135.896667,63.590556,479.32848,yukcaraw (YT),SRFQ9R,R,Yuk_Can,,,,,,,,,,,
SRFQ9RLW,Stewart R. nr Mayo,SRFQ9,-135.896667,63.590556,479.32848,yukcaraw (YT),SRFQ9RLW,RLW,Yuk_Can,,,,,,,,,,,
SRFQ9RUP,Stewart R. nr Mayo,SRFQ9,-135.896667,63.590556,479.32848,yukcaraw (YT),SRFQ9RUP,RUP,Yuk_Can,,,,,,,,,,,
PRXQ9R,Pelly River at Pelly Crossing,PRXQ9,-136.580556,62.829722,0,yukcaraw (YT),PRXQ9R,R,Yuk_Can,,,,,,,,,,,
PRXQ9RLW,Pelly River at Pelly Crossing,PRXQ9,-136.580556,62.829722,0,yukcaraw (YT),PRXQ9RLW,RLW,Yuk_Can,,,,,,,,,,,
PRXQ9RUP,Pelly River at Pelly Crossing,PRXQ9,-136.580556,62.829722,0,yukcaraw (YT),PRXQ9RUP,RUP,Yuk_Can,,,,,,,,,,,
SRFQ9RRT,Stewart R. nr Mayo,SRFQ9,-135.896667,63.590556,479.32848,yukcaraw (YT),SRFQ9RRT,RRT,Yuk_Can,,,,,,,,,,,
SRMQ9R,Stewart River at Mouth,SRMQ9,-139.254444,63.282222,457.2,yukcaraw (YT),SRMQ9R,R,Yuk_Can,,,,,,,,,,,
SRMQ9RLW,Stewart River at Mouth,SRMQ9,-139.254444,63.282222,457.2,yukcaraw (YT),SRMQ9RLW,RLW,Yuk_Can,,,,,,,,,,,
SRMQ9RUP,Stewart River at Mouth,SRMQ9,-139.254444,63.282222,457.2,yukcaraw (YT),SRMQ9RUP,RUP,Yuk_Can,,,,,,,,,,,
PRXQ9RRT,Pelly River at Pelly Crossing,PRXQ9,-136.580556,62.829722,0,yukcaraw (YT),PRXQ9RRT,RRT,Yuk_Can,,,,,,,,,,,
YWRQ9R,Yukon River abv White River,YWRQ9,-139.494444,63.083889,0,yukcaraw (YT),YWRQ9R,R,Yuk_Can,,,,,,,,,,,
YWRQ9RLW,Yukon River abv White River,YWRQ9,-139.494444,63.083889,0,yukcaraw (YT),YWRQ9RLW,RLW,Yuk_Can,,,,,,,,,,,
YWRQ9RUP,Yukon River abv White River,YWRQ9,-139.494444,63.083889,0,yukcaraw (YT),YWRQ9RUP,RUP,Yuk_Can,,,,,,,,,,,
WHRQ9R,White River nr Beaver Creek,WHRQ9,-140.558611,61.988056,315.9,yukcaraw (YT),WHRQ9R,R,Yuk_Can,,,,,,,,,,,
WHRQ9RFA,White River nr Beaver Creek,WHRQ9,-140.558611,61.988056,315.9,yukcaraw (YT),WHRQ9RFA,RFA,Yuk_Can,,,,,,,,,,,
WHRQ9RGL,White River nr Beaver Creek,WHRQ9,-140.558611,61.988056,315.9,yukcaraw (YT),WHRQ9RGL,RGL,Yuk_Can,,,,,,,,,,,
WHRQ9RNG,White River nr Beaver Creek,WHRQ9,-140.558611,61.988056,315.9,yukcaraw (YT),WHRQ9RNG,RNG,Yuk_Can,,,,,,,,,,,
KLNQ9RRT,Klondike River abv Bonanza Creek,KLNQ9,-139.407778,64.042778,100.8,yukcaraw (YT),KLNQ9RRT,RRT,Yuk_Can,,,,,,,,,,,
NIRQ9R,Nisling River blw Onion Cr,NIRQ9,-139.048611,62.208056,232.3,yukcaraw (YT),NIRQ9R,R,Yuk_Can,,,,,,,,,,,
NIRQ9RRT,Nisling River blw Onion Cr,NIRQ9,-139.048611,62.208056,232.3,yukcaraw (YT),NIRQ9RRT,RRT,Yuk_Can,,,,,,,,,,,
SRMQ9RRT,Stewart River at Mouth,SRMQ9,-139.254444,63.282222,457.2,yukcaraw (YT),SRMQ9RRT,RRT,Yuk_Can,,,,,,,,,,,
WHRQ9RRT,White River nr Beaver Creek,WHRQ9,-140.558611,61.988056,315.9,yukcaraw (YT),WHRQ9RRT,RRT,Yuk_Can,,,,,,,,,,,
YDAQ9R,Yukon River at Dawson,YDAQ9,-139.425833,64.070278,368.808,yukcaraw (YT),YDAQ9R,R,Yuk_Can,,,,,,,,,,,
YDAQ9RLC,Yukon River at Dawson,YDAQ9,-139.425833,64.070278,368.808,yukcaraw (YT),YDAQ9RLC,RLC,Yuk_Can,,,,,,,,,,,
YDAQ9RLW,Yukon River at Dawson,YDAQ9,-139.425833,64.070278,368.808,yukcaraw (YT),YDAQ9RLW,RLW,Yuk_Can,,,,,,,,,,,
YDAQ9RRS,Yukon River at Dawson,YDAQ9,-139.425833,64.070278,368.808,yukcaraw (YT),YDAQ9RRS,RRS,Yuk_Can,,,,,,,,,,,
YDAQ9RUP,Yukon River at Dawson,YDAQ9,-139.425833,64.070278,368.808,yukcaraw (YT),YDAQ9RUP,RUP,Yuk_Can,,,,,,,,,,,
YWRQ9RRT,Yukon River abv White River,YWRQ9,-139.494444,63.083889,0,yukcaraw (YT),YWRQ9RRT,RRT,Yuk_Can,,,,,,,,,,,
CRNA2RA,Chisana River at Northway,CRNA2,-141.804722,63.006389,512.91744,yukcaraw (AK),CRNA2RA,RA,Tanana,,,,,,,,,,,
FMRA2RRT,Fortymile River at Taylor Hwy,FMRA2,-141.313333,64.279722,365.76,yukcaraw (AK),FMRA2RRT,RRT,Fortym,,,,,,,,,,,
KLNQ9RA,Klondike River abv Bonanza Creek,KLNQ9,-139.407778,64.042778,100.8,yukcaraw (YT),KLNQ9RA,RA,Yuk_Can,,,,,,,,,,,
YDAQ9RA,Yukon River at Dawson,YDAQ9,-139.425833,64.070278,368.808,yukcaraw (YT),YDAQ9RA,RA,Yuk_Can,,,,,,,,,,,
YDAQ9RRT,Yukon River at Dawson,YDAQ9,-139.425833,64.070278,368.808,yukcaraw (YT),YDAQ9RRT,RRT,Yuk_Can,,,,,,,,,,,
YEAA2R,Yukon River at Eagle,YEAA2,-141.197778,64.789444,259.08,yukcaraw (AK),YEAA2R,R,Yuk_Can,,,,,,,,,,,
YEAA2RER,Yukon River at Eagle,YEAA2,-141.197778,64.789444,259.08,yukcaraw (AK),YEAA2RER,RER,Yuk_Can,,,,,,,,,,,
YEAA2RGR,Yukon River at Eagle,YEAA2,-141.197778,64.789444,259.08,yukcaraw (AK),YEAA2RGR,RGR,Yuk_Can,,,,,,,,,,,
YEAA2RLE,Yukon River at Eagle,YEAA2,-141.197778,64.789444,259.08,yukcaraw (AK),YEAA2RLE,RLE,Yuk_Can,,,,,,,,,,,
YEAA2RLG,Yukon River at Eagle,YEAA2,-141.197778,64.789444,259.08,yukcaraw (AK),YEAA2RLG,RLG,Yuk_Can,,,,,,,,,,,
KLNQ9RRS,Klondike River abv Bonanza Creek,KLNQ9,-139.407778,64.042778,100.8,yukcaraw (YT),KLNQ9RRS,RRS,Yuk_Can,,,,,,,,,,,
NIRQ9RRS,Nisling River blw Onion Cr,NIRQ9,-139.048611,62.208056,232.3,yukcaraw (YT),NIRQ9RRS,RRS,Yuk_Can,,,,,,,,,,,
PRXQ9RRS,Pelly River at Pelly Crossing,PRXQ9,-136.580556,62.829722,0,yukcaraw (YT),PRXQ9RRS,RRS,Yuk_Can,,,,,,,,,,,
SRFQ9RRS,Stewart R. nr Mayo,SRFQ9,-135.896667,63.590556,479.32848,yukcaraw (YT),SRFQ9RRS,RRS,Yuk_Can,,,,,,,,,,,
SRMQ9RRS,Stewart River at Mouth,SRMQ9,-139.254444,63.282222,457.2,yukcaraw (YT),SRMQ9RRS,RRS,Yuk_Can,,,,,,,,,,,
WHRQ9RRS,White River nr Beaver Creek,WHRQ9,-140.558611,61.988056,315.9,yukcaraw (YT),WHRQ9RRS,RRS,Yuk_Can,,,,,,,,,,,
YWRQ9RRS,Yukon River abv White River,YWRQ9,-139.494444,63.083889,0,yukcaraw (YT),YWRQ9RRS,RRS,Yuk_Can,,,,,,,,,,,
FMRA2RTD,Fortymile River at Taylor Hwy,YEAA2,-141.313333,64.279722,365.76,yukcaraw (AK),FMRA2RTD,RTD,Upyukon,,,,,,,,,,,
YDAQ9MRG,Yukon River at Dawson,YDAQ9,-139.425833,64.070278,368.808,yukcaraw (YT),YDAQ9MRG,MRG,Yuk_Can,,,,,,,,,,,
YDAQ9RTD,Yukon River at Dawson,YEAA2,-139.425833,64.070278,368.808,yukcaraw (YT),YDAQ9RTD,RTD,Upyukon,,,,,,,,,,,
YEAA2LCE,Yukon River at Eagle,YEAA2,-141.197778,64.789444,259.08,yukcaraw (AK),YEAA2LCE,LCE,Upyukon,,,,,,,,,,,
YEAA2LCG,Yukon River at Eagle,YEAA2,-141.197778,64.789444,259.08,yukcaraw (AK),YEAA2LCG,LCG,Upyukon,,,,,,,,,,,
YEAA2LER,Yukon River at Eagle,YEAA2,-141.197778,64.789444,259.08,yukcaraw (AK),YEAA2LER,LER,Upyukon,,,,,,,,,,,
YEAA2LGR,Yukon River at Eagle,YEAA2,-141.197778,64.789444,259.08,yukcaraw (AK),YEAA2LGR,LGR,Upyukon,,,,,,,,,,,
YEAA2LOC,YEAA2LOC,YEAA2,-141.197778,64.789444,259.08,yukcaraw (AK),YEAA2LOC,LOC,Upyukon,Y,,,,,,,,,,
CIRA2L4R,Yukon River at Circle,CIRA2,-144.061389,65.827222,173.736,yukcaraw (AK),CIRA2L4R,L4R,Upyukon,,,,,,,,,,,
CIRA2LC4,Yukon River at Circle,CIRA2,-144.061389,65.827222,173.736,yukcaraw (AK),CIRA2LC4,LC4,Upyukon,,,,,,,,,,,
CIRA2LCW,Yukon River at Circle,CIRA2,-144.061389,65.827222,173.736,yukcaraw (AK),CIRA2LCW,LCW,Upyukon,,,,,,,,,,,
CIRA2LOC,CIRA2LOC,CIRA2,-144.061389,65.827222,173.736,yukcaraw (AK),CIRA2LOC,LOC,Upyukon,Y,,,,,,,,,,
CIRA2MRG,Yukon River at Circle,CIRA2,-144.061389,65.827222,173.736,yukcaraw (AK),CIRA2MRG,MRG,Upyukon,,,,,,,,,,,
CIRA2RLW,Yukon River at Circle,CIRA2,-144.061389,65.827222,173.736,yukcaraw (AK),CIRA2RLW,RLW,Upyukon,,,,,,,,,,,
YEAA2RTD,Yukon River at Eagle,CIRA2,-141.197778,64.789444,259.08,yukcaraw (AK),YEAA2RTD,RTD,Upyukon,,,,,,,,,,,
CIRA2RTD,Yukon River at Circle,YFYA2,-144.061389,65.827222,173.736,yukcaraw (AK),CIRA2RTD,RTD,Upyukon,,,,,,,,,,,
PRBQ9OBS,Porcupine River nr Border,PRBQ9,-140.891111,67.424167,182.88,yukcaraw (YT),PRBQ9OBS,OBS,Porcupine,,,,,,,,,,,
YFYA2L4R,Fort Yukon,YFYA2,-145.275556,66.563611,99.06,yukcaraw (AK),YFYA2L4R,L4R,Upyukon,,,,,,,,,,,
YFYA2LC4,Fort Yukon,YFYA2,-145.275556,66.563611,99.06,yukcaraw (AK),YFYA2LC4,LC4,Upyukon,,,,,,,,,,,
YFYA2LCW,Fort Yukon,YFYA2,-145.275556,66.563611,99.06,yukcaraw (AK),YFYA2LCW,LCW,Upyukon,,,,,,,,,,,
YFYA2LOC,YFYA2LOC,YFYA2,-145.275556,66.563611,99.06,yukcaraw (AK),YFYA2LOC,LOC,Upyukon,Y,,,,,,,,,,
YFYA2MRG,Fort Yukon,YFYA2,-145.275556,66.563611,99.06,yukcaraw (AK),YFYA2MRG,MRG,Upyukon,,,,,,,,,,,
YFYA2PRB,Fort Yukon,YFYA2,-145.275556,66.563611,99.06,yukcaraw (AK),YFYA2PRB,PRB,Upyukon,,,,,,,,,,,
YFYA2RLW,Fort Yukon,YFYA2,-145.275556,66.563611,99.06,yukcaraw (AK),YFYA2RLW,RLW,Upyukon,,,,,,,,,,,
PRBQ9RTD,Porcupine River nr Border,PFYA2,-140.891111,67.424167,182.88,yukcaraw (YT),PRBQ9RTD,RTD,Porcupine,,,,,,,,,,,
PFYA2BKW,PFYA2BKW,,-145.248333,66.571667,140.5,NWS modeled basin - Porcupine River at Fort Yukon,PFYA2BKW,BKW,Porcupine,,,,,,,,,,,
PFYA2RTB,PFYA2RTB,,-145.248333,66.571667,140.5,NWS modeled basin - Porcupine River at Fort Yukon,PFYA2RTB,RTB,Porcupine,,,,,,,,,,,
PFYA2LNR,Porcupine R Local N RTD,PFYA2,-145.248333,66.571667,140.5,Porcupine R Local N RTD,PFYA2LNR,LNR,Porcupine,,,,,,,,,,,
PFYA2LSR,Porcupine R Local S RTD,PFYA2,-145.248333,66.571667,140.5,Porcupine R Local S RTD,PFYA2LSR,LSR,Porcupine,,,,,,,,,,,
PFYA2LCN,Porcupine R Local North,PFYA2,-145.248333,66.571667,140.5,Porcupine R Local North,PFYA2LCN,LCN,Porcupine,,,,,,,,,,,
PFYA2POR,Porcupine R,PFYA2,-145.248333,66.571667,140.5,Porcupine R,PFYA2POR,POR,Porcupine,,,,,,,,,,,
PFYA2LOC,PFYA2LOC,PFYA2,-143.66,66.918,224,Porcupine R MAP,PFYA2LOC,LOC,Porcupine,Y,,,,,,,,,,
PFYA2RSN,PFYA2RSN,PFYA2,-143.66,66.918,224,Porcupine R rain-snow line,PFYA2RSN,RSN,Porcupine,,,,,,,,,,,
PRCA2RTD,PRCA2RTD,PFYA2,-143.66,66.918,224,PRCA2 routed to PFYA2,PRCA2RTD,RTD,Porcupine,,,,,,,,,,,
CLNA2RTD,CLNA2RTD,PFYA2,-143.66,66.918,224,CLNA2 routed to PFYA2,CLNA2RTD,RTD,Porcupine,,,,,,,,,,,
SHJA2RTD,SHJA2RTD,PFYA2,-143.66,66.918,224,SHJA2 routed to PFYA2,SHJA2RTD,RTD,Porcupine,,,,,,,,,,,
BRCA2RTD,BRCA2RTD,PFYA2,-143.66,66.918,224,BRCA2 routed to PFYA2,BRCA2RTD,RTD,Porcupine,,,,,,,,,,,
PFYA2LCS,Porcupine R Local South,PFYA2,-145.248333,66.571667,140.5,Porcupine R Local South,PFYA2LCS,LCS,Porcupine,,,,,,,,,,,
CHRA2RSN,Chester Creek at Arctic Blvd,CHRA2,-149.895278,61.205278,4.9,Chester Creek rain-snow line,CHRA2RSN,RSN,Anch,,,,,,,,,,,
CSRA2RSN,South Fork Campbell Creek,CSRA2,-149.729444,61.148889,164,S. Fk. Campbell Creek rain-snow line,CSRA2RSN,RSN,Anch,,,,,,,,,,,
SHIA2RSN,Ship Creek nr Anch,SHIA2,-149.635,61.225556,149.4,Ship Creek rain-snow line,SHIA2RSN,RSN,Anch,,,,,,,,,,,
ERBA2FAI,Eagle River at Glenn Hwy Bridge,ERBA2,-149,61.13,1524,ERBA2 Glacier AFAI,ERBA2FAI,FAI,Anch,,,,,,,,,,,
ERBA2RSN,Eagle River at Glenn Hwy Bridge,ERBA2,-149.574444,61.310833,23.2,Eagle River rain-snow line,ERBA2RSN,RSN,Anch,,,,,,,,,,,
TRPA2FAI,Twentymile River blw Glacier River nr Portage,TRPA2,-148.65,60.95,963.2,TRPA2 Glacier AFAI,TRPA2FAI,FAI,Anch,,,,,,,,,,,
TRPA2RSN,Twentymile River blw Glacier River nr Portage,TRPA2,-148.921944,60.898056,15.2,Twentymile River rain-snow line,TRPA2RSN,RSN,Anch,,,,,,,,,,,
GCGA2FAI,Glacier Creek Girdwood,GCGA2,-149.04,61.04,1400,GCGA2 Glacier AFAI,GCGA2FAI,FAI,Anch,,,,,,,,,,,
GCGA2RSN,Glacier Creek Girdwood,GCGA2,-149.111944,60.988056,255,Glacier Creek rain-snow line,GCGA2RSN,RSN,Anch,,,,,,,,,,,
BVRA2LCN,Yukon River at Beaver,BVRA2,-147.391111,66.359167,108.204,yukcaraw (AK),BVRA2LCN,LCN,Upyukon,,,,,,,,,,,
BVRA2LCS,Yukon River at Beaver,BVRA2,-147.391111,66.359167,108.204,yukcaraw (AK),BVRA2LCS,LCS,Upyukon,,,,,,,,,,,
BVRA2LNR,Yukon River at Beaver,BVRA2,-147.391111,66.359167,108.204,yukcaraw (AK),BVRA2LNR,LNR,Upyukon,,,,,,,,,,,
BVRA2LOC,BVRA2LOC,BVRA2,-147.391111,66.359167,108.204,yukcaraw (AK),BVRA2LOC,LOC,Upyukon,Y,,,,,,,,,,
BVRA2LSR,Yukon River at Beaver,BVRA2,-147.391111,66.359167,108.204,yukcaraw (AK),BVRA2LSR,LSR,Upyukon,,,,,,,,,,,
BVRA2MRG,Yukon River at Beaver,BVRA2,-147.391111,66.359167,108.204,yukcaraw (AK),BVRA2MRG,MRG,Upyukon,,,,,,,,,,,
YFYA2RTD,Fort Yukon,BVRA2,-145.275556,66.563611,128,yukcaraw (AK),YFYA2RTD,RTD,Upyukon,,,,,,,,,,,
PFYA2RTD,Porcupine R Routed,BVRA2,-147.391111,66.359167,108.204,Porcupine R Routed,PFYA2RTD,RTD,Upyukon,,,,,,,,,,,
VENA2RTD,Chandalar R Routed,BVRA2,-146.02,67.02,130,Chandalar R Routed,VENA2RTD,RTD,Upyukon,,,,,,,,,,,
BVRA2RTD,Yukon River at Beaver,YRBA2,-147.391111,66.359167,108.204,yukcaraw (AK),BVRA2RTD,RTD,Upyukon,,,,,,,,,,,
YRBA2LCN,Yukon River nr Stevens Village,YRBA2,-149.717778,65.875556,73.152,yukcaraw (AK),YRBA2LCN,LCN,Upyukon,,,,,,,,,,,
YRBA2LCS,Yukon River nr Stevens Village,YRBA2,-149.717778,65.875556,73.152,yukcaraw (AK),YRBA2LCS,LCS,Upyukon,,,,,,,,,,,
YRBA2LNR,Yukon River nr Stevens Village,YRBA2,-149.717778,65.875556,73.152,yukcaraw (AK),YRBA2LNR,LNR,Upyukon,,,,,,,,,,,
YRBA2LOC,YRBA2LOC,YRBA2,-149.717778,65.875556,73.152,yukcaraw (AK),YRBA2LOC,LOC,Upyukon,Y,,,,,,,,,,
YRBA2LSR,Yukon River nr Stevens Village,YRBA2,-149.717778,65.875556,73.152,yukcaraw (AK),YRBA2LSR,LSR,Upyukon,,,,,,,,,,,
MHSA2RTD,Tanana River at Manley Hot Springs-,TALA2,-150.625,65.001389,23.2,yukcaraw (AK),MHSA2RTD,RTD,Upyukon,,,,,,,,,,,
TALA2LCN,Tanana,TALA2,-152.066667,65.166667,57.08904,yukcaraw (AK),TALA2LCN,LCN,Upyukon,,,,,,,,,,,
TALA2LCS,Tanana,TALA2,-152.066667,65.166667,57.08904,yukcaraw (AK),TALA2LCS,LCS,Upyukon,,,,,,,,,,,
TALA2LNR,Tanana,TALA2,-152.066667,65.166667,57.08904,yukcaraw (AK),TALA2LNR,LNR,Upyukon,,,,,,,,,,,
TALA2LOC,TALA2LOC,TALA2,-152.066667,65.166667,57.08904,yukcaraw (AK),TALA2LOC,LOC,Upyukon,Y,,,,,,,,,,
TALA2LSR,Tanana,TALA2,-152.066667,65.166667,57.08904,yukcaraw (AK),TALA2LSR,LSR,Upyukon,,,,,,,,,,,
TALA2MRG,Tanana,TALA2,-152.066667,65.166667,57.08904,yukcaraw (AK),TALA2MRG,MRG,Upyukon,,,,,,,,,,,
YRBA2RTD,Yukon River nr Stevens Village,TALA2,-149.717778,65.875556,73.152,yukcaraw (AK),YRBA2RTD,RTD,Upyukon,,,,,,,,,,,
RBYA2LCA,Yukon River at Ruby,RBYA2,-155.484167,64.7425,45.72,midyukon (AK),RBYA2LCA,LCA,Midyukon,,,,,,,,,,,
RBYA2LCT,Yukon River at Ruby,RBYA2,-155.484167,64.7425,45.72,midyukon (AK),RBYA2LCT,LCT,Midyukon,,,,,,,,,,,
RBYA2LOC,RBYA2LOC,RBYA2,-155.484167,64.7425,45.72,midyukon (AK),RBYA2LOC,LOC,Midyukon,Y,,,,,,,,,,
RBYA2MRG,Yukon River at Ruby,RBYA2,-155.484167,64.7425,45.72,midyukon (AK),RBYA2MRG,MRG,Midyukon,,,,,,,,,,,
TALA2RTD,Tanana,RBYA2,-152.066667,65.166667,57.08904,midyukon (AK),TALA2RTD,RTD,Midyukon,,,,,,,,,,,
GYRA2LCL,Yukon River at Galena,GYRA2,-156.900833,64.736111,36.6,midyukon (AK),GYRA2LCL,LCL,Midyukon,,,,,,,,,,,
GYRA2LOC,GYRA2LOC,GYRA2,-156.900833,64.736111,36.6,midyukon (AK),GYRA2LOC,LOC,Midyukon,Y,,,,,,,,,,
GYRA2MRG,Yukon River at Galena,GYRA2,-156.900833,64.736111,36.6,midyukon (AK),GYRA2MRG,MRG,Midyukon,,,,,,,,,,,
RBYA2RTD,Yukon River at Ruby,GYRA2,-155.484167,64.7425,45.72,midyukon (AK),RBYA2RTD,RTD,Midyukon,,,,,,,,,,,
GYRA2RTD,Yukon River at Galena,NULA2,-156.900833,64.736111,36.6,midyukon (AK),GYRA2RTD,RTD,Midyukon,,,,,,,,,,,
KRHA2RTD,Koyukuk River at Hughes,NULA2,-154.261667,66.045556,23.2,midyukon (AK),KRHA2RTD,RTD,Koyukuk,,,,,,,,,,,
NULA2LCL,Yukon River at Nulato,NULA2,-158.079167,64.727222,35.1,midyukon (AK),NULA2LCL,LCL,Midyukon,,,,,,,,,,,
NULA2LOC,NULA2LOC,NULA2,-158.079167,64.727222,35.1,midyukon (AK),NULA2LOC,LOC,Midyukon,Y,,,,,,,,,,
NULA2MRG,Yukon River at Nulato,NULA2,-158.079167,64.727222,35.1,midyukon (AK),NULA2MRG,MRG,Midyukon,,,,,,,,,,,
NULA2RTD,Yukon River at Nulato,YANA2,-158.079167,64.727222,35.1,midyukon (AK),NULA2RTD,RTD,Midyukon,,,,,,,,,,,
YANA2LCL,Anvik Local Inflow,YANA2,-160.188333,62.646667,30.5,Anvik Local Inflow,YANA2LCL,LCL,Midyukon,,,,,,,,,,,
YANA2LOC,YANA2LOC,YANA2,-160.188333,62.646667,30.5,Anvik Local MAP,YANA2LOC,LOC,Midyukon,Y,,,,,,,,,,
RSHA2LCL,Yukon River at Russian Mission,RSHA2,-161.316667,61.783333,0,midyukon (AK),RSHA2LCL,LCL,Midyukon,,,,,,,,,,,
RSHA2LOC,RSHA2LOC,RSHA2,-161.316667,61.783333,0,midyukon (AK),RSHA2LOC,LOC,Midyukon,Y,,,,,,,,,,
YANA2RTD,Anvik Routed,RSHA2,-161.316667,61.783333,15.2,Anvik Routed,YANA2RTD,RTD,Midyukon,,,,,,,,,,,
RSHA2RTD,Yukon River at Russian Mission,YPSA2,-161.316667,61.783333,0,midyukon (AK),RSHA2RTD,RTD,Midyukon,,,,,,,,,,,
YPSA2LCL,Yukon River at Pilot Station,YPSA2,-162.880556,61.934444,6.096,midyukon (AK),YPSA2LCL,LCL,Midyukon,,,,,,,,,,,
